step,loss_function,target_value,elapsed_time
3060,8.20422e-03,1.27501e-01,478
3080,7.29248e-03,1.26616e-01,481
3100,7.73006e-03,1.25812e-01,484
3120,8.59109e-03,1.24977e-01,488
3140,9.18137e-03,1.24197e-01,491
3160,7.67954e-03,1.23417e-01,493
3180,8.50965e-03,1.22608e-01,496
3200,7.61263e-03,1.21791e-01,499
3220,9.04031e-03,1.21009e-01,502
3240,8.67999e-03,1.20240e-01,505
3260,8.24004e-03,1.19499e-01,508
3280,7.13039e-03,1.18778e-01,511
3300,8.84158e-03,1.18053e-01,514
3320,9.06050e-03,1.17270e-01,517
3340,7.74006e-03,1.16545e-01,520
3360,7.04029e-03,1.15819e-01,524
3380,7.64104e-03,1.15140e-01,527
3400,8.70196e-03,1.14477e-01,530
3420,7.57191e-03,1.13768e-01,532
3440,7.65116e-03,1.13107e-01,535
3460,7.15814e-03,1.12437e-01,538
3480,7.68064e-03,1.11768e-01,541
3500,8.12516e-03,1.11134e-01,544
3520,6.40965e-03,1.10429e-01,547
3540,7.21694e-03,1.09801e-01,550
3560,6.75619e-03,1.09192e-01,553
3580,6.83511e-03,1.08556e-01,557
3600,7.06991e-03,1.07883e-01,560
3620,6.49684e-03,1.07264e-01,563
3640,6.29704e-03,1.06646e-01,566
3660,7.38049e-03,1.06087e-01,569
3680,6.83377e-03,1.05445e-01,572
3700,6.91733e-03,1.04819e-01,576
3720,7.32789e-03,1.04235e-01,579
3740,6.33472e-03,1.03666e-01,581
3760,6.89273e-03,1.03062e-01,585
3780,6.69054e-03,1.02478e-01,588
3800,6.20645e-03,1.01856e-01,590
3820,6.42830e-03,1.01265e-01,593
3840,6.85657e-03,1.00721e-01,597
3860,5.94615e-03,1.00227e-01,600
3880,6.69805e-03,9.96648e-02,603
3900,6.76796e-03,9.91237e-02,606
3920,6.22167e-03,9.86320e-02,609
3940,8.03499e-03,9.81380e-02,612
3960,6.78172e-03,9.76080e-02,615
3980,5.60980e-03,9.69908e-02,618
4000,7.45630e-03,9.64323e-02,622
