step,loss_function,target_value,elapsed_time
2920,1.12855e-01,-8.31499e-01,150
2940,6.80570e-02,-8.28263e-01,151
2960,5.37953e-02,-8.27397e-01,152
2980,5.96079e-02,-8.28743e-01,153
3000,5.38667e-02,-8.28857e-01,154
3020,5.41066e-02,-8.26302e-01,155
3040,4.54677e-02,-8.25226e-01,156
3060,4.54903e-02,-8.26183e-01,157
3080,5.59705e-02,-8.26733e-01,158
3100,5.35132e-02,-8.22747e-01,159
3120,5.60615e-02,-8.18465e-01,160
3140,7.53048e-02,-8.15540e-01,161
3160,5.16975e-02,-8.16659e-01,162
3180,5.40814e-02,-8.15955e-01,163
3200,4.97703e-02,-8.15541e-01,164
3220,4.18960e-02,-8.15041e-01,165
3240,4.89832e-02,-8.15574e-01,166
3260,3.82707e-02,-8.14974e-01,167
3280,4.79494e-02,-8.14704e-01,168
3300,3.87079e-02,-8.11730e-01,169
3320,3.07559e-02,-8.11221e-01,170
3340,5.24320e-02,-8.08808e-01,171
3360,4.37879e-02,-8.06936e-01,172
3380,2.78531e-02,-8.06648e-01,173
3400,4.34354e-02,-8.07821e-01,175
3420,3.35354e-02,-8.10737e-01,176
3440,4.08493e-02,-8.10386e-01,177
3460,5.38448e-02,-8.05715e-01,178
3480,4.44127e-02,-8.00249e-01,179
3500,4.94160e-02,-7.94927e-01,180
3520,4.16745e-02,-7.96172e-01,181
3540,4.81592e-02,-7.97188e-01,182
3560,3.61398e-02,-7.96302e-01,183
3580,2.69903e-02,-7.96001e-01,184
3600,2.72970e-02,-7.96924e-01,185
3620,3.77186e-02,-7.96788e-01,186
3640,3.92428e-02,-7.95787e-01,187
3660,3.09481e-02,-7.97997e-01,188
3680,3.16195e-02,-7.95947e-01,189
3700,4.37009e-02,-7.96191e-01,190
3720,3.51651e-02,-7.97657e-01,191
3740,4.74561e-02,-7.95308e-01,192
3760,2.02338e-02,-7.91849e-01,193
3780,4.02426e-02,-7.90078e-01,194
3800,2.35509e-02,-7.91605e-01,195
3820,3.44822e-02,-7.90371e-01,196
3840,1.78442e-02,-7.90272e-01,197
3860,4.50173e-02,-7.89124e-01,198
3880,4.53862e-02,-7.91927e-01,199
3900,2.30814e-02,-7.91471e-01,200
3920,3.16302e-02,-7.91379e-01,201
3940,3.07573e-02,-7.89563e-01,202
3960,3.10613e-02,-7.88008e-01,203
3980,3.73789e-02,-7.90975e-01,204
4000,1.97117e-02,-7.97780e-01,206
4020,1.61529e-02,-7.98326e-01,207
4040,2.11751e-02,-7.96483e-01,208
4060,4.49000e-02,-7.90775e-01,209
4080,1.95121e-02,-7.85408e-01,210
4100,3.54557e-02,-7.82313e-01,211
4120,3.25429e-02,-7.80922e-01,212
4140,2.27119e-02,-7.81214e-01,213
4160,2.36980e-02,-7.83775e-01,214
4180,1.83004e-02,-7.87858e-01,215
4200,3.85080e-02,-7.91792e-01,216
4220,4.57075e-02,-7.89477e-01,217
4240,2.02325e-02,-7.86488e-01,218
4260,1.51195e-02,-7.87251e-01,219
4280,1.72701e-02,-7.84757e-01,221
4300,4.31930e-02,-7.85052e-01,222
4320,2.06655e-02,-7.87947e-01,223
4340,4.29418e-02,-7.88687e-01,224
4360,2.10152e-02,-7.89401e-01,225
4380,3.41115e-02,-7.92553e-01,226
4400,4.22571e-02,-7.83425e-01,227
4420,3.46554e-02,-7.84141e-01,228
4440,3.18353e-02,-7.90491e-01,229
4460,1.59347e-02,-7.90116e-01,230
4480,2.91763e-02,-7.88754e-01,231
4500,1.33595e-02,-7.86304e-01,232
4520,2.88509e-02,-7.85288e-01,233
4540,2.41521e-02,-7.83350e-01,234
4560,2.85011e-02,-7.86928e-01,235
