step,loss_function,target_value,elapsed_time
3060,1.03509e+00,2.30104e+00,119
3080,1.25268e+00,2.30227e+00,120
3100,9.62731e-01,2.30235e+00,121
3120,9.87155e-01,2.30346e+00,122
3140,1.04373e+00,2.30268e+00,123
3160,1.10293e+00,2.30406e+00,123
3180,9.19975e-01,2.30423e+00,124
3200,9.77378e-01,2.30347e+00,125
3220,1.13516e+00,2.30376e+00,126
3240,8.92853e-01,2.30490e+00,127
3260,1.04371e+00,2.30489e+00,127
3280,8.99988e-01,2.30611e+00,129
3300,9.62869e-01,2.30606e+00,130
3320,9.44819e-01,2.30839e+00,130
3340,9.63270e-01,2.30730e+00,131
3360,9.74720e-01,2.30795e+00,132
3380,1.08862e+00,2.30778e+00,133
3400,9.01042e-01,2.30812e+00,133
3420,9.81456e-01,2.30807e+00,134
3440,9.47289e-01,2.30782e+00,135
3460,1.12046e+00,2.30907e+00,136
3480,9.92015e-01,2.30738e+00,137
3500,8.76204e-01,2.30824e+00,137
3520,8.61782e-01,2.30887e+00,138
3540,8.88832e-01,2.30922e+00,139
3560,8.81413e-01,2.31152e+00,140
3580,8.82523e-01,2.31109e+00,141
3600,1.02492e+00,2.31057e+00,142
3620,9.33196e-01,2.31084e+00,143
3640,9.35742e-01,2.31100e+00,143
3660,8.52723e-01,2.31075e+00,144
3680,8.87051e-01,2.31016e+00,145
3700,8.62591e-01,2.30988e+00,146
3720,9.52623e-01,2.31033e+00,147
3740,8.79625e-01,2.30997e+00,147
3760,8.49955e-01,2.30958e+00,148
3780,8.99334e-01,2.30954e+00,149
3800,9.60276e-01,2.30943e+00,149
3820,9.23911e-01,2.30794e+00,150
3840,8.09538e-01,2.30808e+00,151
3860,7.96415e-01,2.30651e+00,152
3880,9.03837e-01,2.30574e+00,152
3900,9.01364e-01,2.30755e+00,153
3920,8.72704e-01,2.30715e+00,154
3940,8.04927e-01,2.30711e+00,154
3960,8.76486e-01,2.30641e+00,155
3980,8.16735e-01,2.30666e+00,156
4000,8.73418e-01,2.30638e+00,157
4020,8.74190e-01,2.30561e+00,157
4040,7.46903e-01,2.30639e+00,158
4060,8.02726e-01,2.30661e+00,159
4080,7.79099e-01,2.30745e+00,160
4100,8.15037e-01,2.30565e+00,160
4120,7.44858e-01,2.30496e+00,161
4140,7.87247e-01,2.30524e+00,162
4160,8.42531e-01,2.30579e+00,163
4180,1.04065e+00,2.30552e+00,163
4200,8.95451e-01,2.30508e+00,164
4220,7.13873e-01,2.30438e+00,165
4240,7.89229e-01,2.30410e+00,166
4260,7.78568e-01,2.30346e+00,166
4280,7.47483e-01,2.30421e+00,167
4300,9.38393e-01,2.30520e+00,168
4320,7.53458e-01,2.30575e+00,168
4340,8.72382e-01,2.30705e+00,169
4360,8.16804e-01,2.30741e+00,170
4380,7.50408e-01,2.30739e+00,171
4400,8.00444e-01,2.30666e+00,171
4420,7.83415e-01,2.30731e+00,172
4440,8.42436e-01,2.30811e+00,173
4460,7.96614e-01,2.30702e+00,173
4480,8.47357e-01,2.30866e+00,174
4500,7.37120e-01,2.30948e+00,175
4520,7.55207e-01,2.30891e+00,176
4540,7.32737e-01,2.30719e+00,176
4560,7.12536e-01,2.30737e+00,177
4580,8.06458e-01,2.30672e+00,178
4600,7.71671e-01,2.30615e+00,179
4620,7.64247e-01,2.30641e+00,179
4640,8.63165e-01,2.30568e+00,180
4660,8.31814e-01,2.30589e+00,181
4680,8.20501e-01,2.30600e+00,182
4700,7.51659e-01,2.30585e+00,182
4720,7.85051e-01,2.30517e+00,183
4740,8.69800e-01,2.30460e+00,184
4760,7.63958e-01,2.30471e+00,184
4780,7.67000e-01,2.30502e+00,185
4800,8.46952e-01,2.30624e+00,186
4820,7.88406e-01,2.30892e+00,187
4840,7.42273e-01,2.30931e+00,187
4860,7.84959e-01,2.30987e+00,188
4880,7.27679e-01,2.30911e+00,189
4900,6.95702e-01,2.30849e+00,190
4920,7.21543e-01,2.30880e+00,191
4940,7.83290e-01,2.30819e+00,191
4960,6.51872e-01,2.30873e+00,192
4980,7.49184e-01,2.30647e+00,193
5000,7.91434e-01,2.30678e+00,194
5020,6.72425e-01,2.30683e+00,195
5040,7.61715e-01,2.30733e+00,195
5060,7.28110e-01,2.30762e+00,196
5080,7.41240e-01,2.30610e+00,197
5100,6.71809e-01,2.30529e+00,197
5120,7.92000e-01,2.30488e+00,198
5140,8.13188e-01,2.30442e+00,199
5160,7.28774e-01,2.30530e+00,199
5180,6.96135e-01,2.30515e+00,200
5200,7.01904e-01,2.30591e+00,201
5220,8.39707e-01,2.30625e+00,202
5240,6.79135e-01,2.30711e+00,202
5260,6.48143e-01,2.30638e+00,203
5280,7.31696e-01,2.30661e+00,204
5300,7.05265e-01,2.30571e+00,205
5320,6.42071e-01,2.30705e+00,205
5340,7.61431e-01,2.30796e+00,206
5360,6.55386e-01,2.30799e+00,207
5380,6.85802e-01,2.30689e+00,207
5400,6.68775e-01,2.30635e+00,208
5420,6.32627e-01,2.30706e+00,209
5440,6.71873e-01,2.30609e+00,209
5460,5.96125e-01,2.30580e+00,210
5480,6.51128e-01,2.30658e+00,211
5500,6.95407e-01,2.30839e+00,212
5520,7.46926e-01,2.30754e+00,212
5540,6.27884e-01,2.30735e+00,213
5560,7.05793e-01,2.30806e+00,214
5580,6.76475e-01,2.30913e+00,214
5600,7.22588e-01,2.30831e+00,215
5620,6.85141e-01,2.30789e+00,216
5640,6.18855e-01,2.30715e+00,216
5660,6.96909e-01,2.30766e+00,217
5680,7.05564e-01,2.30832e+00,218
5700,6.29775e-01,2.30843e+00,218
5720,6.85185e-01,2.30913e+00,219
5740,6.37723e-01,2.30854e+00,220
5760,6.36782e-01,2.30784e+00,220
5780,6.92050e-01,2.30831e+00,221
5800,6.25484e-01,2.30675e+00,222
5820,6.24654e-01,2.30618e+00,223
5840,6.60678e-01,2.30552e+00,223
5860,6.61900e-01,2.30606e+00,224
5880,6.24161e-01,2.30570e+00,225
5900,6.62192e-01,2.30630e+00,225
5920,6.13570e-01,2.30587e+00,226
5940,6.13888e-01,2.30692e+00,227
5960,6.33467e-01,2.30738e+00,228
5980,5.92743e-01,2.30780e+00,228
6000,5.96573e-01,2.30761e+00,229
6020,5.65748e-01,2.30777e+00,230
6040,6.72518e-01,2.30777e+00,230
6060,6.26189e-01,2.30797e+00,231
